ROW SKU      DESCRIPTION         QTY   UNIT     TOTAL     
001 D5JVKVR  gasket ring 40      306   18.43    5,639.58  
002 CNVR92N  terminal block 12P  178   44.79    7,972.62  
003 SNTF26U  contactor 32A       165   85.74    14,147.10 
004 3LU3KTZ  o-ring 22x2         234   14.79    3,460.86  
005 GN7UJF6  hex bolt M8         268   2.38     637.84    
006 FA7WXZ9  o-ring 22x2         363   6.13     2,225.19  
007 35M8WSZ  pump seal kit       28    37.15    1,040.20  
008 JWAJGVF  o-ring 22x2         352   42.44    14,938.88 
009 YTBL64Q  pump seal kit       166   31.44    5,219.04  
010 K2WFV5M  fuse 6.3A slow      321   4.44     1,425.24  
011 XKVSED3  hex bolt M8         222   71.92    15,966.24 
012 VK2Q66R  fuse 6.3A slow      24    81.13    1,947.12  
013 5TPMKP4  gasket ring 40      97    15.54    1,507.38  
014 3H58DHP  hex bolt M8         298   64.86    19,328.28 
015 4XK8JRJ  cable gland M20     110   15.47    1,701.70  
016 9V8YBZW  limit switch        240   22.53    5,407.20  
017 2RAFMMU  filter cartridge    390   63.80    24,882.00 
018 DN3HL68  gasket ring 40      180   74.49    13,408.20 
019 XSAU7HR  o-ring 22x2         351   15.97    5,605.47  
020 97Q5JMK  copper lug 16mm     182   33.35    6,069.70  
021 MRPMKV4  pump seal kit       172   8.01     1,377.72  
022 QTH2AYP  gasket ring 40      215   67.28    14,465.20 
023 5MP7BED  hex bolt M8         139   30.74    4,272.86  
024 X7ELEKH  terminal block 12P  21    54.22    1,138.62  
025 TAFBH5D  filter cartridge    147   98.29    14,448.63 
026 Q3RT2WB  contactor 32A       191   11.97    2,286.27  
027 FX9BFN4  sensor NTC 10k      376   57.87    21,759.12 
028 W7BTQZU  contactor 32A       4     99.67    398.68    
029 NWGQ663  gasket ring 40      85    48.17    4,094.45  
030 RKU6R4P  gasket ring 40      113   85.31    9,640.03  
031 29PJMWX  o-ring 22x2         371   4.67     1,732.57  
032 T628QAQ  copper lug 16mm     192   39.28    7,541.76  
033 G3R7ZRP  copper lug 16mm     172   75.22    12,937.84 
034 YV3VYDY  copper lug 16mm     35    25.72    900.20    
035 6AM3DDN  bearing 6203ZZ      345   43.99    15,176.55 
036 ESWN55K  filter cartridge    39    85.75    3,344.25  
037 YZRZ78R  o-ring 22x2         3     48.96    146.88    
038 M8RQY4E  cable gland M20     5     92.75    463.75    
039 YY8Z6WH  cable gland M20     80    46.54    3,723.20  
040 VB3VXL8  hex bolt M8         307   83.18    25,536.26 
041 JXWYPMH  fuse 6.3A slow      79    73.04    5,770.16  
042 EMJX9KR  sensor NTC 10k      19    93.03    1,767.57  
043 6G6LYGZ  gasket ring 40      383   84.89    32,512.87 
044 WKT6A69  cable gland M20     153   10.53    1,611.09  
045 PJMBHVA  contactor 32A       36    20.83    749.88    
046 8N5EJGA  filter cartridge    148   10.04    1,485.92  
047 LYBD9QX  filter cartridge    247   86.39    21,338.33 
048 VNAQ5GM  gasket ring 40      186   5.49     1,021.14  
049 868G6XQ  valve seat brass    352   32.74    11,524.48 
050 N4ZXA5B  hex bolt M8         27    10.72    289.44    
051 ME5MYE7  gasket ring 40      388   45.22    17,545.36 
052 M8D46V5  valve seat brass    121   8.10     980.10    
053 Q54S8YK  valve seat brass    216   96.06    20,748.96 
