  BRIGHTON YARD SUPPLY CO
  1174 DOCK ROAD, UNIT 6
  TERMINAL 04  REG 12  OP 48SZ
  14/08/2026  14:46:43
------------------------------------------------------------------------
5x copper lug 16mm                                               178.75
5x o-ring 22x2                                                   174.55
2x fuse 6.3A slow                                                 49.00
3x relay 24V DPDT                                                138.54
9x terminal block 12P                                            124.83
7x fuse 6.3A slow                                                140.07
2x sensor NTC 10k                                                 77.28
4x relay 24V DPDT                                                 52.80
6x terminal block 12P                                            106.62
7x filter cartridge                                              331.87
9x sensor NTC 10k                                                386.64
8x valve seat brass                                              123.68
5x fuse 6.3A slow                                                245.40
2x cable gland M20                                                71.68
4x pump seal kit                                                 156.16
9x o-ring 22x2                                                   319.14
9x sensor NTC 10k                                                413.10
1x copper lug 16mm                                                49.03
6x valve seat brass                                              244.38
1x bearing 6203ZZ                                                  5.23
9x valve seat brass                                              407.16
6x sensor NTC 10k                                                 88.56
5x gasket ring 40                                                 62.15
4x hex bolt M8                                                    14.00
8x filter cartridge                                              177.60
7x sensor NTC 10k                                                348.53
7x bearing 6203ZZ                                                330.33
5x cable gland M20                                               117.85
4x gasket ring 40                                                134.60
5x copper lug 16mm                                                28.60
2x relay 24V DPDT                                                 39.76
3x copper lug 16mm                                                74.67
3x copper lug 16mm                                               133.17
8x limit switch                                                  287.44
8x valve seat brass                                              312.24
9x terminal block 12P                                            401.85
7x gasket ring 40                                                253.82
7x gasket ring 40                                                250.74
8x sensor NTC 10k                                                 78.48
1x hex bolt M8                                                    44.75
1x filter cartridge                                               16.16
4x fuse 6.3A slow                                                185.12
4x o-ring 22x2                                                   195.20
9x pump seal kit                                                  27.54
6x contactor 32A                                                 159.84
7x sensor NTC 10k                                                108.85
1x fuse 6.3A slow                                                 48.30
8x fuse 6.3A slow                                                344.40
1x filter cartridge                                                4.98
2x pump seal kit                                                  57.54
3x cable gland M20                                               101.43
3x limit switch                                                   89.04
8x copper lug 16mm                                               291.12
8x contactor 32A                                                  67.28
6x sensor NTC 10k                                                165.48
2x valve seat brass                                               21.48
7x valve seat brass                                              343.63
8x relay 24V DPDT                                                120.72
3x filter cartridge                                               19.23
8x relay 24V DPDT                                                 27.92
2x filter cartridge                                               66.96
6x terminal block 12P                                            103.44
2x contactor 32A                                                  86.80
1x pump seal kit                                                  31.99
4x o-ring 22x2                                                    27.24
8x filter cartridge                                               42.32
7x gasket ring 40                                                324.73
5x gasket ring 40                                                 73.80
2x limit switch                                                   21.22
4x gasket ring 40                                                 99.44
5x copper lug 16mm                                               140.25
3x copper lug 16mm                                                19.56
1x relay 24V DPDT                                                 14.65
2x valve seat brass                                               29.38
9x relay 24V DPDT                                                395.55
9x valve seat brass                                              322.11
9x relay 24V DPDT                                                267.21
8x gasket ring 40                                                119.20
4x valve seat brass                                               17.52
7x sensor NTC 10k                                                302.47
2x fuse 6.3A slow                                                 57.60
6x limit switch                                                  147.90
8x fuse 6.3A slow                                                284.72
2x gasket ring 40                                                 99.84
2x gasket ring 40                                                 20.32
6x filter cartridge                                               99.48
6x fuse 6.3A slow                                                164.22
9x bearing 6203ZZ                                                107.28
2x bearing 6203ZZ                                                 23.04
4x limit switch                                                  156.48
------------------------------------------------------------------------
SUBTOTAL                                                       13037.03
TAX 8.25%                                                       1075.55
TOTAL                                                          14112.58
CARD **** 4417  APPROVED
AUTH 58LD9T  REF 21140699
------------------------------------------------------------------------
RETURNS ACCEPTED WITHIN 30 DAYS WITH
RECEIPT. NO REFUND ON CUT CABLE OR
SPECIAL ORDER ITEMS. SEE REVERSE FOR
FULL TERMS.  QUERIES: 0800 114 9930
