            A       B       C       D       E       F       G       H       I       J       K       L       M
   1    6,599   1,693   8,837   4,963    -293   6,179   8,797     759   1,752   9,421    -334   5,217   3,652
   2    8,863    -346   5,237   2,526   6,930   1,098     155    -594   3,104   9,079    -306     902     204
   3    4,471   2,314   5,987   1,111   2,614   8,494   7,349   1,601   6,183   5,562   7,243   8,800   6,992
   4      708   6,055   3,393   3,404    -125    -457   5,269   6,270   8,314   5,603   8,547       2   1,133
   5      761   4,242   3,891   7,899   7,217    -359   5,425    -892   6,159       7   9,034   3,047   6,988
   6    1,579   9,895   1,427   4,880   2,872     -82   5,116   7,418   5,302   6,018   5,664   5,148   6,101
   7    7,049   4,449   3,445   4,954   5,838   4,575    -633   8,026   7,381   5,280   3,360   7,503   1,508
   8    1,769   1,449   5,671   7,047   6,369   6,409   2,917   4,429   3,864   8,332   8,852   1,032   2,503
   9    1,222   1,713    -356   9,757   7,038    -161   7,920   2,829   4,793   3,562   5,743   6,442   6,978
  10    4,440   5,125   9,484   6,925    -163   1,006   8,297   6,109   3,038   7,436   2,861   7,190   2,731
  11    9,985   8,846   3,260   6,656   5,081   4,739     838   8,743   1,538   6,896   3,403   2,832   8,490
  12    1,052     351   4,199   3,083     290    -643   9,897   9,726   2,108   7,146   4,800   4,716   2,925
  13    5,309   5,123     354   7,981   2,173   9,784    -288   2,021    -973     180    -872     351   4,187
  14    7,396   2,246   2,819   6,008   2,473   1,211   8,056   2,128   9,877   9,559   2,279   2,171   5,279
  15     -644   5,117   8,152     884    -626   7,457   4,894   1,970   4,908   2,732   2,056   2,728   8,892
  16    1,261   9,051     154   6,964   2,396    -744     527   2,998   4,209   3,798      70     495   9,474
  17    2,190   1,731   7,585   2,085   5,181   9,623   3,803     221   7,144   2,632   5,652   3,585   6,703
  18    6,901   8,276   1,987   4,839   2,237   6,824     742   5,629   3,248   1,757   4,696   2,224   7,214
  19    1,387   5,990   5,557   7,848   5,035   3,906   9,040   5,316   6,553     983    -497   8,914   8,592
  20    8,339   5,211   1,656   7,303    -327   9,348   2,836     617   2,401   9,900   6,007   7,300   6,734
  21    9,478   6,932   2,601     469   5,538    -815   7,504   4,934   3,200   1,817   7,526   5,684   8,370
  22    2,416   8,370      93   8,656   2,898   7,643   3,970   6,062      59      68   9,442   2,818   2,655
  23    2,660   6,170   5,132   6,534     371   8,595   3,772   9,268   8,414   4,755   3,826   9,088   9,097
  24    3,635   2,752   4,030   8,296   5,905   8,865     103   3,231   6,109   1,893   2,661     558   8,794
  25    9,324   8,880    -318    -409     815   5,672   1,485   2,552   2,609   7,845     475   4,605   2,503
  26     -327   2,421   7,074   4,373   9,208   3,309   5,452   4,384   3,290   3,359    -901   5,796   3,453
  27    3,530    -416    -657   5,164   2,890   3,909     475   2,495    -737   7,772     673   7,034     409
  28    5,156   8,774   9,575   7,571   2,810   9,012   7,343   6,191   6,542   8,803   7,972   9,052   9,445
  29      415   8,752   7,863   7,927   8,019   6,267   6,733   3,668   2,516   6,736   5,278     674    -500
  30      724   2,323   4,930   9,577   2,320   6,176   8,409   3,288   7,141   5,643    -337   3,867    -458
  31    6,273   1,810   6,106   7,659   3,587     977   9,805   9,450   1,910    -639   2,523   9,279   7,667
  32    7,640   2,229   4,086   4,600     163   1,369   9,406   9,379   4,510   1,555   2,300   8,387   6,595
  33    6,005   7,633   2,936   4,798    -498   9,166   3,541   3,727   5,044   2,048   2,928   5,651     890
  34    8,566   1,374   8,078   4,463    -525   3,270   6,570   2,529     -59    -321    -265   3,031   4,225
  35     -488   2,237     602   1,260   1,816   9,272   3,087   2,082   7,390   4,668     547   1,384   4,772
  36      684   5,421   8,158    -163   6,600   5,108     -84   2,256   9,272   1,389   2,377   5,515   1,010
  37    4,982   4,928   4,899   1,055   7,170   8,724   1,123   4,756      67   7,410   3,744   4,444   1,272
  38    2,569   7,588     115   1,431   2,269   5,648   7,098   8,401   3,016   8,048   9,238   2,101   5,547
  39    2,143   7,620   9,107   9,391   7,971   2,448   3,695   2,703   7,642   2,946   3,564   7,179   2,761
  40    2,606   3,924   1,076      41   6,987   1,901   2,395   4,737   3,933   2,742     910     -79   5,257
  41    1,299     677    -471   4,873   1,012   3,599   7,162   5,359   5,518     835   4,272   3,115   5,610
  42    2,091     154   1,265    -149   8,614   3,984    -204   4,341   8,278   2,441   4,381     476    -622
  43    3,924   1,529   9,956   3,910   3,287    -621   8,144   3,054     450   1,508   1,292   6,481   8,224
  44    5,763   8,588   3,254     727   7,222    -408     753   1,222    -537   2,177     439   8,019   3,682
  45      605   9,189   9,606   7,987   3,905   8,515   8,505    -816   6,704   1,134   3,142   9,789   8,015
