            A       B       C       D       E       F       G       H       I       J       K       L       M       N       O       P
   1    1,912   6,355   2,305   5,699   5,465   1,583   4,324   5,239   4,897   2,965   5,436   5,122   2,509   5,861   7,045   1,232
   2      369   7,482   6,450     462   9,776    -703   1,648   3,304   9,014   6,869   2,573   5,771   3,749     289   4,735   2,542
   3    1,169     416   1,240     583   7,987   7,133   9,024   9,237   1,202   4,713   9,378   6,699   1,591     331   9,767   7,121
   4     -423   5,643   2,133   3,002   5,250   2,898   3,681   4,712   3,865   4,597   8,699    -288   1,734   6,101   7,897    -590
   5    7,757     975   3,984   3,298   5,572      96     358   3,061   1,283   5,901   3,794      44   1,357   8,705   9,860   5,289
   6    2,256   1,707   4,516   2,804   8,483   9,104   8,996   5,780   7,477     515   7,798   2,005   7,512   6,304    -606   1,236
   7    6,852   2,281   1,663    -968    -501    -504   3,538   8,963   2,698   5,994   4,004   2,720   2,278    -691   3,512   3,192
   8    8,149   4,275   2,506   7,423   1,520   7,350   6,097   6,829   4,819   2,956   2,774   4,407   9,586   9,605   1,048    -575
   9    8,755   2,872   8,318   9,888    -720   2,930   7,620   1,853    -155   5,154     955   1,801   4,658   2,929   9,330   6,480
  10    5,055   3,160   8,929   1,366   8,012   7,322   8,830    -732   7,494    -302   4,276   8,145   6,941    -306   1,384    -421
  11     -836     624   2,922     212   5,974   9,099    -472   3,044   6,682   6,213   8,784   6,335    -917   6,972   4,456   9,238
  12    5,654   5,526   1,244   2,274    -306   8,982   2,983      -4   8,675   4,949   2,812   1,519   6,890   9,600   5,696   1,985
  13    5,492   6,629   2,285     764   5,451   9,799   7,594   2,327   3,988   3,427    -631   4,615   9,133   3,137   7,565   7,426
  14    1,668   6,094   2,119   7,754   1,617   6,756   3,239   5,445   2,600   5,816   1,779   1,480   7,653   3,114     252   7,739
  15    3,551   2,832    -817    -710    -532   1,595   4,450   9,034   1,520   7,697   2,943   6,169   6,321   9,837   7,201     758
  16    1,153   9,657   7,863   8,438     103   5,891   4,213   6,767   1,496   3,060   1,578   4,199   8,959     416   8,890   1,751
  17    3,528    -680   1,087   5,075   1,537    -541   1,751   5,345   1,247   6,841   7,302     466     929   7,509   5,535   8,514
  18    3,246   8,519   2,426   5,244   7,024   1,901   8,591     889     970   3,901   8,842   6,222   4,826    -198   4,017   6,739
  19    3,502     387   4,299   1,547     455     920   7,961   6,199   3,061     593   6,369   1,032   7,095   5,832      79   8,449
  20    8,667   9,694   2,823   4,300   4,079   9,876   4,667   6,458   9,519     300   5,524   5,659   9,958   6,249   3,794    -110
  21    9,873   8,167     942   7,773   2,591   3,645   7,007   5,320     451      27   6,610   3,817   5,539   2,905     383   1,020
  22    2,428   2,750   5,831   7,828    -379   4,898   3,287   7,093    -906    -916   4,158   2,767   8,212   5,352   6,530   1,648
  23    3,605   5,853   5,467   3,879   4,312   8,234   3,965   4,846   1,108   3,626   8,958   2,988   7,164   9,443   8,950   3,405
  24    9,880   5,076   4,434   3,447   4,119   3,236   2,398   8,573     325   6,118     252   5,041   4,182   5,279   8,747   1,686
  25    6,455   2,508   8,030     194   5,563   2,068   7,589   3,329   2,875   8,323   4,314    -555   8,359   9,738   2,029    -224
  26    6,095   5,170   1,310   1,229     835   2,878   3,828   3,294   8,073    -408   5,019     630   6,213   7,842   4,391   3,994
  27    8,091   6,532   6,949   6,400   7,446   5,780   6,915   2,914   4,913     897   8,944   1,977   8,130   1,933     580   2,847
  28    8,825   3,413     556   3,478     430   7,782   2,622   2,526   3,931   5,429   5,930   7,772   8,199   2,730   7,253   8,089
  29    2,688   7,496   8,675   2,098   7,568   5,563   4,695   1,912   6,942   9,917   5,259   3,473   1,258   4,751   4,508   8,677
  30    4,061   4,985   8,745   3,379   8,378   3,173   5,376   4,645   8,516   3,275   9,031   4,400     591   5,329     -38   3,102
  31     -669   6,414   9,976   3,324    -450   5,379   4,421   2,206   5,537   8,634   8,281   9,076   4,582   4,303   7,595   5,866
  32    9,288   3,907    -940   8,502   9,603   9,723   9,059    -197   7,180   8,224   9,330   3,184     854   2,971   3,302   9,974
  33    1,411   3,019   2,899   2,348   5,672   8,196   8,790   4,767   8,492     329   5,485   4,486    -103   5,780   9,880   9,122
  34     -240   7,471   3,307   4,475   6,008   9,425   6,104   9,669     597   1,378   7,205   6,180   2,698   5,044   4,945   3,913
  35    7,326   8,587   8,712   9,755   4,670   5,682   6,459   2,675   3,487   5,274    -356   9,097   4,615   5,256    -355    -448
