            A       B       C       D       E       F       G       H       I       J       K       L       M       N       O       P
   1    7,170     484     -68     493   7,243   9,554   2,631     120   3,288   1,904   2,488   5,379   6,221   1,208   6,868   7,244
   2    8,175   2,100   2,679   9,948   1,979   2,915   8,501   6,902   9,179   7,031   4,060   2,764   5,029   2,173   3,141   9,783
   3    7,953   3,544    -463   9,723   1,945   4,039   3,532   8,227   5,023   8,509   6,993   8,215     684   8,519   8,344   6,482
   4    1,342   3,161   5,437   4,221   8,372     818   5,663   1,748   2,229   8,703   4,767   6,751   6,195   9,269   2,287   4,633
   5    9,632   3,349   1,979   2,457   6,674     169   7,176   9,259   5,451   2,564   1,420   4,147   3,241   9,458    -684   1,046
   6     -871   5,661   7,655   7,996   1,913    -970   3,965   4,710   5,705   1,271   1,671   7,585     123   8,637   4,174   4,631
   7    6,322   7,853   4,762   8,708   8,890   7,529   9,011   9,443   2,906    -749   4,986   2,113   7,061   1,652   9,601    -705
   8    6,190   4,338   4,520   9,757   8,618   1,971   8,087   9,888   8,249   4,586   3,604   4,930   4,260   2,130   2,427   5,824
   9    5,833     324   6,915   3,753   5,331   3,669   3,030    -241   5,819   9,823   4,594   9,698   5,316   5,023   6,150   2,857
  10    6,290   8,688   6,838   4,296   1,593   5,797   8,449   8,702   7,416   9,634   6,718     295   4,562   4,687   6,281   5,380
  11    9,609   9,683     -50   9,328   5,700    -486   1,451    -738     133   6,631   9,372     291   9,918   1,487   9,693   9,429
  12     -113   7,178    -830   2,414   4,669   1,892   2,080   7,339   4,203   7,125   1,013   4,923   9,238   7,140   1,346   8,971
  13    2,417   9,593     165   9,806   7,840   6,214   4,334   9,082   1,362   9,210   8,160   6,791     802     209    -654   9,349
  14     -120   2,628   9,940   5,019   3,587   1,814    -471   9,101   2,330   3,180    -859   8,718   3,185   6,003   3,820   7,545
  15     -926   5,541     390   9,036   4,407    -865   6,679   6,828   9,780      84   4,847   9,790   2,890   9,055   4,828    -168
  16    8,912     -90   4,491   5,028   6,832   6,285     764   1,328   6,220   9,473      90   6,146   3,324   4,375   6,740    -515
  17    2,442   7,765   9,446     170   7,182     804   1,834   5,859   5,441     310   9,451   8,993   5,178   8,906   4,417     -28
  18    9,580    -587   7,797     766     451    -532   5,170     184   2,040   7,007   6,270   8,683   4,446   8,041   2,482      19
  19    7,718   4,035   2,780   4,314   7,201   2,277     173   4,394   4,431   3,158   9,650   8,314   6,186     681   5,820   4,146
  20    6,626   9,146   5,362   2,078   3,736   9,974   4,544   1,302   2,922   7,388   4,752     -75   6,170   4,354   7,812   3,650
  21    5,293   8,934   2,224   9,621    -213   5,576   1,035   3,729     511   2,469    -915   9,145   7,609   3,712   6,326   9,653
  22      -92   2,331   9,280   4,824   5,904   4,711   6,108   3,149   2,010   5,888    -586   4,334   1,330   4,635     597   5,367
  23    4,370   3,308   7,448   5,231   2,976   1,086   6,698   1,378   9,082   1,146   7,682   1,995     674   2,485   6,185   3,587
  24    2,471   2,517   1,919   2,923   4,970   1,065   6,214   8,849    -641     399   1,199   9,248   1,657   3,416   5,054   9,278
  25    1,932   8,088   3,851   6,786   4,430   1,029   1,685   1,060   7,917     995   1,814   3,246   5,157   2,264   9,800   4,992
  26    4,703   3,945   2,669     648   7,893   4,182    -566   1,630   5,343    -641   1,716   7,239   7,473   2,198   6,169    -903
  27    6,617    -308   2,044   1,144   1,158   2,096   3,111   7,365   7,876   4,498    -550   2,236   5,986   7,338   7,618   9,165
  28    2,925   5,061   3,140   8,944   6,594   2,939   9,428   8,976   7,811   5,924   8,022     829   4,125   4,723   4,698     399
  29    9,513   4,404   2,924   6,156   1,492   4,554   3,808   4,236     706   9,683   7,951   6,836   9,305   6,852   3,612   2,747
  30    5,634   1,365      59   8,590   5,780   5,037   9,084   3,858   1,141   2,592   2,285   5,057   9,524   3,917    -107   3,473
  31      696    -964   7,789   9,309    -446   6,469   7,024   1,098   3,320     409   5,575   3,264      45   3,653   3,635   1,504
  32     -162   6,680   5,120   1,258   3,803   4,754   8,276   2,377   4,704   1,953   2,259   5,377   8,627   5,938   7,843   8,321
  33    9,371   9,643   4,629   2,715   1,216   7,142   4,542   9,037   3,767   8,177   7,168    -583   5,443   6,930   4,739   2,784
  34    1,837   5,369   3,631     472   4,250   9,145   7,096    -558   5,943   9,234   3,738   5,038   3,977   8,265   1,426   4,751
  35    9,127   3,072   4,564   2,434   9,544   8,990   4,477   9,139      44   9,331   7,632   5,552   2,603   8,680   7,612     901
  36    9,669   9,083   6,898   9,588      35    -458   9,556   9,116   2,836    -644    -527   5,822    -926   9,892   3,267    -317
  37      670   1,480   7,602    -898   3,556   8,074      40   8,064   1,207   5,593   4,677   7,845   6,509   1,489   5,598   2,764
  38    5,444   5,250   1,350   4,657   9,101   2,792   7,101   8,920   9,759   6,736   8,458   1,058   6,872   8,488   5,478   2,036
  39      762    -236     318   8,061     157   9,871    -126   9,353   4,521   7,244    -575   8,547   7,048   8,262   8,600   9,898
  40    4,040   6,245   5,373   2,288   8,601   7,297   6,266   2,419    -920    -467   1,799   8,498   2,608   8,778   1,141    -818
  41    6,294   9,479    -955    -786   1,175     367   8,519    -269   6,863   2,715   7,750   9,835   9,374   9,762   5,376   2,768
  42    8,960    -122   5,111   5,193   4,567   5,021   6,234   7,469   4,841   6,455   7,565   8,259   1,181   3,542   3,385    -288
  43    5,906   8,618   5,359   4,446   1,711   8,471     563   5,799   7,865   7,427    -670   9,833     461   5,622   9,057   9,398
  44     -178   4,923   3,027   4,938   7,990   7,312   3,303   4,873   3,706   6,989    -290   3,276   9,684    -368   5,045   7,947
  45    6,303   4,230   4,633   9,850    -977   7,715   4,956   2,042   2,518   7,007   2,985   5,622   6,113    -783   5,951   2,975
  46    7,105   2,674   5,970   7,838    -232   1,586   6,818   3,344   4,750   1,981   8,450   3,636   8,384   4,275   6,101     959
  47     -676   2,597   7,813    -488    -188   3,847   4,840   2,010   6,957   6,790   6,923   5,358   4,769   3,042   9,935   8,355
  48    1,512   7,212   6,732   1,969   6,100   2,891     434   9,774   5,529   9,152   6,298   2,330   2,366   9,505   2,138     945
