file,series,style,font,cell,size_px,cap_height_px,antialiased,degradation,w,h,megapixels,rows,cols,chars,claude_tokens,gpt_tokens,chars_per_claude_token,chars_per_gpt_token,text_tokens_equiv,claude_compression,exceeds_claude_measured_envelope,groundtruth,image_sha256,groundtruth_sha256
A_bitmap_ladder/A01_4x6.png,A_bitmap_ladder,"numbered lines, dense",X11 misc 4x6 bitmap,4x6,,6,False,,896,896,0.803,148,222,32093,1024,941,31.34,34.11,8023,7.84,False,groundtruth/A_bitmap_ladder__A01_4x6.txt,e96e008e22819fd1dbf31eb9204ca2d59a45cd5401b93f2195ab9ce48f9437a7,715b83aa91974b458bbd18c13d82feef796bce54043a1822f2074b4b269391ea
A_bitmap_ladder/A02_5x7.png,A_bitmap_ladder,"numbered lines, dense",X11 misc 5x7 bitmap,5x7,,7,False,,896,896,0.803,126,177,21642,1024,941,21.13,23.0,5410,5.28,False,groundtruth/A_bitmap_ladder__A02_5x7.txt,cbc61469e471dd996fe36a6feffea1755ee49f924597618a228820b57a5dac3f,d1e0da4bf21be9870d58eb6354d2139fd2f4c99c55e40ca1b51d0f6bbcb15730
A_bitmap_ladder/A03_5x8.png,A_bitmap_ladder,"numbered lines, dense",X11 misc 5x8 bitmap,5x8,,8,False,,896,896,0.803,111,177,19080,1024,941,18.63,20.28,4770,4.66,False,groundtruth/A_bitmap_ladder__A03_5x8.txt,9d8dbc8f5b94b677037334979d9a870a95684206c8107eb910a3704f25bdaf52,a3fa6f11dbee9bd5160720adc52bcb7ba540c31a16c583addd5f615cb4146cde
A_bitmap_ladder/A04_6x9.png,A_bitmap_ladder,"numbered lines, dense",X11 misc 6x9 bitmap,6x9,,9,False,,896,896,0.803,98,148,14016,1024,941,13.69,14.9,3504,3.42,False,groundtruth/A_bitmap_ladder__A04_6x9.txt,315e27c9f8b9ea1f68f2672a39d2d55479265fb7bbf8de2bddeb844c3b2c28b4,946464e154e548e876ca753e8d960398dade4787a0e3a61d5c9f23a2c96cc495
A_bitmap_ladder/A05_6x10.png,A_bitmap_ladder,"numbered lines, dense",X11 misc 6x10 bitmap,6x10,,10,False,,896,896,0.803,88,148,12575,1024,941,12.28,13.37,3144,3.07,False,groundtruth/A_bitmap_ladder__A05_6x10.txt,d9be9f1a30708fc69502478f7ef657256d3e0bd397fb8ea7a527d82da3ab12b9,16e5244ba5078333167098d9c410af47b74098dda58e966477b644fb8b904dfd
A_bitmap_ladder/A06_6x12.png,A_bitmap_ladder,"numbered lines, dense",X11 misc 6x12 bitmap,6x12,,12,False,,896,896,0.803,74,148,10580,1024,941,10.33,11.25,2645,2.58,False,groundtruth/A_bitmap_ladder__A06_6x12.txt,7b6508f80102c1751f09a3c0580d38405276d612560af0dd5f8b1bc8e93b2383,1c2a903aa2a4208c6f6782990617789cdd2207ac2d75732c4cc0251af925c47c
A_bitmap_ladder/A07_6x13.png,A_bitmap_ladder,"numbered lines, dense",X11 misc 6x13 bitmap,6x13,,13,False,,896,896,0.803,68,148,9731,1024,941,9.5,10.34,2433,2.38,False,groundtruth/A_bitmap_ladder__A07_6x13.txt,e1c6bb4a11386f1dcfa2ad40bed37214b4c5a17e5b74def69b924b8a89d7f5c9,f520a5674751b319a8c81e1a5fbefa836f09044d1bef3f8a0581b9a4459291dc
A_bitmap_ladder/A08_7x13.png,A_bitmap_ladder,"numbered lines, dense",X11 misc 7x13 bitmap,7x13,,13,False,,896,896,0.803,68,126,8200,1024,941,8.01,8.72,2050,2.0,False,groundtruth/A_bitmap_ladder__A08_7x13.txt,ee5c62700bd5d69041a8fe5bb28640cfe2b18a11fe34c8292ab894e7316ca413,6582373feac6e77f2a53043ffad943b3aaff9cd29780ebb94b4d3ae4b72e16b4
A_bitmap_ladder/A09_7x14.png,A_bitmap_ladder,"numbered lines, dense",X11 misc 7x14 bitmap,7x14,,14,False,,896,896,0.803,63,126,7619,1024,941,7.44,8.1,1905,1.86,False,groundtruth/A_bitmap_ladder__A09_7x14.txt,e9f405d25afe0d9eaac92f417f81e761c160d434b44215b444e92b697e834127,a2f1f36cd4852bc2fdf258c8cb4b6d78c3d1269cde1786bab965b3f740bb537c
A_bitmap_ladder/A10_8x13.png,A_bitmap_ladder,"numbered lines, dense",X11 misc 8x13 bitmap,8x13,,13,False,,896,896,0.803,68,111,7172,1024,941,7.0,7.62,1793,1.75,False,groundtruth/A_bitmap_ladder__A10_8x13.txt,b0f0240170b763e827e86c23c23cc9eb360f520d8d6bb7cb59331fe16d212d62,059c8e61a39464a6437f6d7402e86f5c5abb46357832521b061f06fa458c741c
