80 runs: 6x13 crock32, spans 8/16/32/51, 20 reps
  6x13    crock32 span=  8 rep2 exact=False cer=0.111 5s
  6x13    crock32 span=  8 rep1 exact=False cer=0.125 6s
  6x13    crock32 span=  8 rep4 exact=True  cer=0.000 6s  6x13    crock32 span=  8 rep3 exact=True  cer=0.000 7s

  6x13    crock32 span=  8 rep5 exact=False cer=0.125 6s
  6x13    crock32 span=  8 rep6 exact=False cer=0.125 7s
  6x13    crock32 span=  8 rep7 exact=True  cer=0.000 6s
  6x13    crock32 span=  8 rep8 exact=False cer=0.125 6s
  6x13    crock32 span=  8 rep9 exact=True  cer=0.000 6s
  6x13    crock32 span=  8 rep10 exact=True  cer=0.000 6s
  6x13    crock32 span=  8 rep11 exact=True  cer=0.000 7s
  6x13    crock32 span=  8 rep12 exact=True  cer=0.000 5s
  6x13    crock32 span=  8 rep13 exact=False cer=0.222 14s
  6x13    crock32 span=  8 rep14 exact=True  cer=0.000 15s
  6x13    crock32 span=  8 rep15 exact=False cer=0.375 6s
  6x13    crock32 span=  8 rep16 exact=False cer=0.125 6s
  6x13    crock32 span=  8 rep17 exact=False cer=0.250 6s
  6x13    crock32 span=  8 rep18 exact=True  cer=0.000 6s
  6x13    crock32 span=  8 rep19 exact=True  cer=0.000 6s
  6x13    crock32 span=  8 rep20 exact=False cer=0.125 6s
  6x13    crock32 span= 16 rep1 exact=False cer=0.125 7s
  6x13    crock32 span= 16 rep2 exact=True  cer=0.000 7s
  6x13    crock32 span= 16 rep3 exact=False cer=0.125 7s
  6x13    crock32 span= 16 rep4 exact=False cer=0.062 8s
  6x13    crock32 span= 16 rep5 exact=False cer=0.062 6s
  6x13    crock32 span= 16 rep6 exact=False cer=0.125 7s
  6x13    crock32 span= 16 rep7 exact=True  cer=0.000 7s
  6x13    crock32 span= 16 rep8 exact=False cer=0.062 7s
  6x13    crock32 span= 16 rep9 exact=False cer=0.062 15s
  6x13    crock32 span= 16 rep10 exact=True  cer=0.000 15s
  6x13    crock32 span= 16 rep11 exact=False cer=0.062 8s
  6x13    crock32 span= 16 rep12 exact=True  cer=0.000 7s
  6x13    crock32 span= 16 rep13 exact=False cer=0.125 8s
  6x13    crock32 span= 16 rep14 exact=False cer=0.125 6s
  6x13    crock32 span= 16 rep15 exact=False cer=0.125 7s
  6x13    crock32 span= 16 rep16 exact=False cer=0.125 7s
  6x13    crock32 span= 16 rep17 exact=False cer=0.125 7s
  6x13    crock32 span= 16 rep18 exact=False cer=0.062 6s
  6x13    crock32 span= 16 rep19 exact=True  cer=0.000 7s
  6x13    crock32 span= 16 rep20 exact=False cer=0.062 7s
  6x13    crock32 span= 32 rep1 exact=False cer=0.062 8s
  6x13    crock32 span= 32 rep2 exact=False cer=0.031 8s
  6x13    crock32 span= 32 rep3 exact=False cer=0.125 7s
  6x13    crock32 span= 32 rep4 exact=False cer=0.091 15s
  6x13    crock32 span= 32 rep5 exact=False cer=0.125 15s
  6x13    crock32 span= 32 rep6 exact=False cer=0.094 7s
  6x13    crock32 span= 32 rep7 exact=True  cer=0.000 11s
  6x13    crock32 span= 32 rep8 exact=False cer=0.094 11s
  6x13    crock32 span= 32 rep9 exact=False cer=0.031 9s
  6x13    crock32 span= 32 rep10 exact=False cer=0.094 7s
  6x13    crock32 span= 32 rep11 exact=False cer=0.062 8s
  6x13    crock32 span= 32 rep12 exact=True  cer=0.000 10s
  6x13    crock32 span= 32 rep13 exact=False cer=0.125 9s
  6x13    crock32 span= 32 rep14 exact=False cer=0.094 9s
  6x13    crock32 span= 32 rep15 exact=False cer=0.156 11s
  6x13    crock32 span= 32 rep16 exact=False cer=0.031 10s
  6x13    crock32 span= 32 rep18 exact=False cer=0.094 7s
  6x13    crock32 span= 32 rep17 exact=False cer=0.125 14s
  6x13    crock32 span= 32 rep19 exact=False cer=0.121 7s
  6x13    crock32 span= 32 rep20 exact=False cer=0.062 9s
  6x13    crock32 span= 51 rep2 exact=False cer=0.039 12s
  6x13    crock32 span= 51 rep1 exact=False cer=0.941 19s
  6x13    crock32 span= 51 rep3 exact=False cer=0.098 7s
  6x13    crock32 span= 51 rep4 exact=False cer=0.078 11s
  6x13    crock32 span= 51 rep5 exact=False cer=0.078 9s
  6x13    crock32 span= 51 rep6 exact=False cer=0.059 8s
  6x13    crock32 span= 51 rep8 exact=False cer=0.137 10s
  6x13    crock32 span= 51 rep7 exact=False cer=0.882 15s
  6x13    crock32 span= 51 rep10 exact=False cer=0.059 8s
  6x13    crock32 span= 51 rep9 exact=False cer=0.137 11s
  6x13    crock32 span= 51 rep12 exact=False cer=0.098 9s
  6x13    crock32 span= 51 rep11 exact=False cer=0.078 11s
  6x13    crock32 span= 51 rep13 exact=False cer=0.078 10s
  6x13    crock32 span= 51 rep14 exact=False cer=0.078 10s
  6x13    crock32 span= 51 rep15 exact=False cer=0.098 9s
  6x13    crock32 span= 51 rep16 exact=False cer=0.059 10s
  6x13    crock32 span= 51 rep18 exact=False cer=0.902 14s
  6x13    crock32 span= 51 rep17 exact=False cer=0.098 22s
  6x13    crock32 span= 51 rep19 exact=False cer=0.118 8s
  6x13    crock32 span= 51 rep20 exact=False cer=0.118 10s

span  literal  prefix  overlong  mean CER
   8     10/20    11/20       2   0.085
  16      5/20     5/20       0   0.072
  32      2/20     2/20       2   0.081
  51      0/20     0/20       0   0.212
