80 runs: 6x13 hex, spans 8/16/32/51, 20 reps
  6x13    hex  span=  8 rep1 exact=True  cer=0.000 5s
  6x13    hex  span=  8 rep2 exact=True  cer=0.000 6s
  6x13    hex  span=  8 rep3 exact=False cer=0.111 5s
  6x13    hex  span=  8 rep4 exact=True  cer=0.000 7s
  6x13    hex  span=  8 rep5 exact=False cer=0.125 5s
  6x13    hex  span=  8 rep6 exact=True  cer=0.000 7s
  6x13    hex  span=  8 rep7 exact=True  cer=0.000 6s
  6x13    hex  span=  8 rep8 exact=True  cer=0.000 14s
  6x13    hex  span=  8 rep9 exact=True  cer=0.000 14s
  6x13    hex  span=  8 rep10 exact=True  cer=0.000 6s
  6x13    hex  span=  8 rep11 exact=True  cer=0.000 6s
  6x13    hex  span=  8 rep13 exact=True  cer=0.000 5s
  6x13    hex  span=  8 rep12 exact=True  cer=0.000 9s
  6x13    hex  span=  8 rep14 exact=True  cer=0.000 5s
  6x13    hex  span=  8 rep15 exact=True  cer=0.000 7s
  6x13    hex  span=  8 rep16 exact=False cer=0.125 6s
  6x13    hex  span=  8 rep17 exact=True  cer=0.000 6s
  6x13    hex  span=  8 rep18 exact=True  cer=0.000 5s
  6x13    hex  span=  8 rep19 exact=True  cer=0.000 5s
  6x13    hex  span=  8 rep20 exact=True  cer=0.000 6s
  6x13    hex  span= 16 rep1 exact=True  cer=0.000 6s
  6x13    hex  span= 16 rep2 exact=True  cer=0.000 8s
  6x13    hex  span= 16 rep3 exact=True  cer=0.000 7s
  6x13    hex  span= 16 rep4 exact=False cer=0.125 6s
  6x13    hex  span= 16 rep5 exact=True  cer=0.000 15s
  6x13    hex  span= 16 rep6 exact=False cer=0.125 14s
  6x13    hex  span= 16 rep7 exact=False cer=0.125 6s
  6x13    hex  span= 16 rep8 exact=True  cer=0.000 7s
  6x13    hex  span= 16 rep9 exact=False cer=0.062 8s
  6x13    hex  span= 16 rep10 exact=True  cer=0.000 7s
  6x13    hex  span= 16 rep11 exact=True  cer=0.000 7s
  6x13    hex  span= 16 rep12 exact=True  cer=0.000 7s
  6x13    hex  span= 16 rep13 exact=True  cer=0.000 6s
  6x13    hex  span= 16 rep14 exact=False cer=0.125 6s
  6x13    hex  span= 16 rep15 exact=True  cer=0.000 7s
  6x13    hex  span= 16 rep16 exact=True  cer=0.000 8s
  6x13    hex  span= 16 rep17 exact=False cer=0.062 6s
  6x13    hex  span= 16 rep18 exact=True  cer=0.000 7s
  6x13    hex  span= 16 rep19 exact=True  cer=0.000 8s
  6x13    hex  span= 16 rep20 exact=True  cer=0.000 8s
  6x13    hex  span= 32 rep1 exact=True  cer=0.000 16s
  6x13    hex  span= 32 rep2 exact=True  cer=0.000 17s
  6x13    hex  span= 32 rep3 exact=False cer=0.030 8s
  6x13    hex  span= 32 rep4 exact=False cer=0.030 8s
  6x13    hex  span= 32 rep5 exact=False cer=0.030 10s
  6x13    hex  span= 32 rep6 exact=True  cer=0.000 7s
  6x13    hex  span= 32 rep7 exact=True  cer=0.000 9s
  6x13    hex  span= 32 rep8 exact=True  cer=0.000 8s
  6x13    hex  span= 32 rep9 exact=False cer=0.031 8s
  6x13    hex  span= 32 rep10 exact=False cer=0.031 8s
  6x13    hex  span= 32 rep11 exact=False cer=0.030 8s
  6x13    hex  span= 32 rep12 exact=True  cer=0.000 8s
  6x13    hex  span= 32 rep13 exact=False cer=0.030 15s
  6x13    hex  span= 32 rep14 exact=True  cer=0.000 16s
  6x13    hex  span= 32 rep15 exact=True  cer=0.000 8s
  6x13    hex  span= 32 rep16 exact=True  cer=0.000 11s
  6x13    hex  span= 32 rep17 exact=False cer=0.031 8s
  6x13    hex  span= 32 rep18 exact=True  cer=0.000 8s
  6x13    hex  span= 32 rep19 exact=True  cer=0.000 8s
  6x13    hex  span= 32 rep20 exact=True  cer=0.000 10s
  6x13    hex  span= 51 rep1 exact=True  cer=0.000 10s
  6x13    hex  span= 51 rep2 exact=False cer=0.039 9s
  6x13    hex  span= 51 rep3 exact=False cer=0.020 12s
  6x13    hex  span= 51 rep4 exact=True  cer=0.000 8s
  6x13    hex  span= 51 rep5 exact=True  cer=0.000 17s
  6x13    hex  span= 51 rep6 exact=True  cer=0.000 17s
  6x13    hex  span= 51 rep7 exact=False cer=0.039 9s
  6x13    hex  span= 51 rep8 exact=True  cer=0.000 11s
  6x13    hex  span= 51 rep9 exact=True  cer=0.000 8s
  6x13    hex  span= 51 rep10 exact=False cer=0.020 10s
  6x13    hex  span= 51 rep11 exact=False cer=0.137 11s
  6x13    hex  span= 51 rep13 exact=False cer=0.020 8s
  6x13    hex  span= 51 rep12 exact=True  cer=0.000 16s
  6x13    hex  span= 51 rep14 exact=True  cer=0.000 7s
  6x13    hex  span= 51 rep15 exact=True  cer=0.000 8s
  6x13    hex  span= 51 rep16 exact=True  cer=0.000 8s
  6x13    hex  span= 51 rep18 exact=True  cer=0.000 13s
  6x13    hex  span= 51 rep17 exact=True  cer=0.000 17s
  6x13    hex  span= 51 rep19 exact=True  cer=0.000 9s
  6x13    hex  span= 51 rep20 exact=True  cer=0.000 9s

span  literal  prefix  overlong  mean CER
   8     17/20    18/20       1   0.018
  16     14/20    14/20       0   0.031
  32     12/20    17/20       5   0.012
  51     14/20    14/20       0   0.014
