80 runs: 6x13 hex, spans 8/16/32/51, 20 reps
  6x13    hex  span=  8 rep2 exact=True  cer=0.000 4s
  6x13    hex  span=  8 rep1 exact=False cer=0.125 5s
  6x13    hex  span=  8 rep3 exact=False cer=0.111 6s
  6x13    hex  span=  8 rep4 exact=False cer=0.111 6s
  6x13    hex  span=  8 rep6 exact=True  cer=0.000 5s
  6x13    hex  span=  8 rep5 exact=False cer=0.111 6s
  6x13    hex  span=  8 rep8 exact=False cer=0.111 4s
  6x13    hex  span=  8 rep7 exact=True  cer=0.000 6s
  6x13    hex  span=  8 rep9 exact=False cer=0.111 5s
  6x13    hex  span=  8 rep12 exact=False cer=0.111 4s
  6x13    hex  span=  8 rep11 exact=False cer=0.111 6s
  6x13    hex  span=  8 rep10 exact=True  cer=0.000 7s
  6x13    hex  span=  8 rep15 exact=True  cer=0.000 5s
  6x13    hex  span=  8 rep14 exact=True  cer=0.000 5s
  6x13    hex  span=  8 rep13 exact=False cer=0.111 11s
  6x13    hex  span=  8 rep17 exact=True  cer=0.000 4s
  6x13    hex  span=  8 rep16 exact=False cer=0.111 5s
  6x13    hex  span=  8 rep19 exact=True  cer=0.000 5s
  6x13    hex  span=  8 rep20 exact=False cer=0.222 5s
  6x13    hex  span=  8 rep18 exact=False cer=0.111 6s
  6x13    hex  span= 16 rep3 exact=False cer=0.158 5s
  6x13    hex  span= 16 rep1 exact=False cer=0.158 6s
  6x13    hex  span= 16 rep2 exact=True  cer=0.000 10s
  6x13    hex  span= 16 rep4 exact=True  cer=0.000 6s
  6x13    hex  span= 16 rep5 exact=True  cer=0.000 7s
  6x13    hex  span= 16 rep6 exact=True  cer=0.000 5s
  6x13    hex  span= 16 rep7 exact=True  cer=0.000 5s
  6x13    hex  span= 16 rep9 exact=False cer=0.158 4s
  6x13    hex  span= 16 rep8 exact=True  cer=0.000 7s
  6x13    hex  span= 16 rep10 exact=True  cer=0.000 7s
  6x13    hex  span= 16 rep11 exact=True  cer=0.000 6s
  6x13    hex  span= 16 rep13 exact=True  cer=0.000 5s
  6x13    hex  span= 16 rep12 exact=True  cer=0.000 8s
  6x13    hex  span= 16 rep14 exact=True  cer=0.000 6s
  6x13    hex  span= 16 rep16 exact=False cer=0.158 7s
  6x13    hex  span= 16 rep15 exact=True  cer=0.000 7s
  6x13    hex  span= 16 rep17 exact=False cer=0.158 6s
  6x13    hex  span= 16 rep19 exact=True  cer=0.000 8s
  6x13    hex  span= 16 rep18 exact=True  cer=0.000 8s
  6x13    hex  span= 16 rep20 exact=False cer=0.188 6s
  6x13    hex  span= 32 rep2 exact=True  cer=0.000 9s
  6x13    hex  span= 32 rep3 exact=True  cer=0.000 8s
  6x13    hex  span= 32 rep1 exact=True  cer=0.000 10s
  6x13    hex  span= 32 rep4 exact=False cer=0.030 9s
  6x13    hex  span= 32 rep5 exact=False cer=0.030 9s
  6x13    hex  span= 32 rep6 exact=True  cer=0.000 10s
  6x13    hex  span= 32 rep8 exact=True  cer=0.000 8s
  6x13    hex  span= 32 rep7 exact=True  cer=0.000 9s
  6x13    hex  span= 32 rep9 exact=True  cer=0.000 10s
  6x13    hex  span= 32 rep10 exact=True  cer=0.000 9s
  6x13    hex  span= 32 rep11 exact=True  cer=0.000 8s
  6x13    hex  span= 32 rep12 exact=True  cer=0.000 9s
  6x13    hex  span= 32 rep13 exact=True  cer=0.000 11s
  6x13    hex  span= 32 rep14 exact=True  cer=0.000 12s
  6x13    hex  span= 32 rep15 exact=True  cer=0.000 9s
  6x13    hex  span= 32 rep17 exact=False cer=0.059 6s
  6x13    hex  span= 32 rep16 exact=True  cer=0.000 9s
  6x13    hex  span= 32 rep18 exact=True  cer=0.000 10s
  6x13    hex  span= 32 rep19 exact=True  cer=0.000 10s
  6x13    hex  span= 32 rep20 exact=True  cer=0.000 10s
  6x13    hex  span= 51 rep1 exact=True  cer=0.000 8s
  6x13    hex  span= 51 rep2 exact=True  cer=0.000 9s
  6x13    hex  span= 51 rep3 exact=True  cer=0.000 9s
  6x13    hex  span= 51 rep4 exact=True  cer=0.000 9s
  6x13    hex  span= 51 rep5 exact=True  cer=0.000 10s
  6x13    hex  span= 51 rep6 exact=True  cer=0.000 8s
  6x13    hex  span= 51 rep7 exact=True  cer=0.000 12s
  6x13    hex  span= 51 rep8 exact=True  cer=0.000 8s
  6x13    hex  span= 51 rep9 exact=False cer=0.078 8s
  6x13    hex  span= 51 rep10 exact=True  cer=0.000 8s
  6x13    hex  span= 51 rep11 exact=False cer=0.020 9s
  6x13    hex  span= 51 rep12 exact=True  cer=0.000 8s
  6x13    hex  span= 51 rep13 exact=True  cer=0.000 10s
  6x13    hex  span= 51 rep15 exact=True  cer=0.000 8s
  6x13    hex  span= 51 rep14 exact=False cer=0.098 12s
  6x13    hex  span= 51 rep16 exact=False cer=0.020 10s
  6x13    hex  span= 51 rep17 exact=True  cer=0.000 10s
  6x13    hex  span= 51 rep18 exact=True  cer=0.000 11s
  6x13    hex  span= 51 rep19 exact=True  cer=0.000 10s
  6x13    hex  span= 51 rep20 exact=True  cer=0.000 9s

span  exact   mean CER
   8  8/20   0.073
  16  14/20   0.049
  32  17/20   0.006
  51  16/20   0.011
